CurrencyCode,AllowedCountries
USD,United States,Ecuador,El Salvador,Panama
EUR,Austria,Belgium,Finland,France,Germany,Greece,Ireland,Italy,Netherlands,Portugal,Spain,Slovakia,Slovenia,Cyprus,Estonia,Latvia,Lithuania,Malta,Monaco,San Marino,Vatican City,Andorra,Kosovo,Montenegro
JPY,Japan
GBP,United Kingdom (England, Scotland, Wales),Gibraltar
CNY,China
AUD,Australia,Nauru,Kiribati,Tuvalu
CAD,Canada
CHF,Switzerland,Liechtenstein
HKD,Hong Kong
SGD,Singapore
SEK,Sweden
KRW,South Korea
NOK,Norway
NZD,New Zealand,Niue,Cook Islands,Tokelau,Pitcairn Islands
INR,India
MXN,Mexico
TWD,Taiwan
ZAR,South Africa,Lesotho,Eswatini,Namibia
BRL,Brazil
THB,Thailand
BTC,United States,Canada,United Kingdom,France,Denmark,Germany,Japan,Switzerland,Spain,Bahamas,Austria
ETH,United States,Canada,United Kingdom,France,Denmark,Germany,Japan,Switzerland,Spain,Bahamas,Austria
USDT,United States,United Kingdom,Canada,Japan,Singapore,Australia
XRP,United States,Canada,United Kingdom,Germany,France,Switzerland,Spain,Japan,Australia
BNB,United States,Canada,United Kingdom,Germany,France,Switzerland,Japan,Australia
SOL,United States,Canada,United Kingdom,France,Denmark,Germany,Japan,Switzerland,Spain,Austria,Australia
USDC,United States,United Kingdom,Canada,Japan,Singapore,Australia
DOGE,United States,Canada,United Kingdom,France,Denmark,Germany,Japan,Switzerland,Spain,Austria,Australia
TRX,United States,Canada,United Kingdom,France,Denmark,Germany,Japan,Switzerland,Spain,Austria,Australia
ADA,United States,Canada,United Kingdom,France,Denmark,Germany,Japan,Switzerland,Spain,Austria,Australia
LINK,United States,Canada,United Kingdom,France,Denmark,Germany,Japan,Switzerland,Spain,Austria,Australia
AVAX,United States,Canada,United Kingdom,France,Denmark,Germany,Japan,Switzerland,Spain,Austria,Australia
XLM,United States,Canada,United Kingdom,France,Denmark,Germany,Japan,Switzerland,Spain,Austria,Australia
BCH,United States,Canada,United Kingdom,France,Denmark,Germany,Japan,Switzerland,Spain,Austria,Australia
TON,United States,Canada,United Kingdom,France,Denmark,Germany,Japan,Switzerland,Spain,Australia
SHIB,United States,Canada,United Kingdom,France,Denmark,Germany,Japan,Switzerland,Spain,Austria,Australia
HBAR,United States,Canada,United Kingdom,France,Denmark,Germany,Japan,Switzerland,Spain,Australia
LTC,United States,Canada,United Kingdom,France,Denmark,Germany,Japan,Switzerland,Spain,Austria,Australia
DOT,United States,Canada,United Kingdom,France,Denmark,Germany,Japan,Switzerland,Spain,Austria,Australia
XMR,United States,Canada,United Kingdom,Germany,France,Switzerland,Spain,Italy,Netherlands