Code,Symbol,RateToUSD,TaxRate,Volatility,Type
USD,$,1.0000,0.005, ,Fiat
EUR,€,1.1401,0.010, ,Fiat
JPY,¥,0.00690,0.010, ,Fiat
GBP,£,1.3528,0.010, ,Fiat
CNY,¥,0.1392,0.015, ,Fiat
AUD,$,0.6468,0.005, ,Fiat
CAD,$,0.7292,0.005, ,Fiat
CHF,Fr.,1.2222,0.005, ,Fiat
HKD,$,0.1275,0.005, ,Fiat
SGD,$,0.7779,0.005, ,Fiat
SEK,kr,0.1037,0.010, ,Fiat
KRW,₩,0.000726,0.010, ,Fiat
NOK,kr,0.09887,0.010, ,Fiat
NZD,$,0.6037,0.005, ,Fiat
INR,₹,0.01166,0.020, ,Fiat
MXN,$,0.05204,0.010, ,Fiat
TWD,$,0.03333,0.010, ,Fiat
ZAR,R,0.05623,0.020, ,Fiat
BRL,R$,0.1798,0.020, ,Fiat
THB,฿,0.03075,0.010, ,Fiat
BTC,₿,105767,0.020,1.35,Crypto
ETH,Ξ,2513.24,0.020,1.40,Crypto
USDT,₮,1.0000,0.020,0.05,Crypto
XRP,✕,2.28,0.020,1.50,Crypto
BNB,B,643.43,0.020,1.30,Crypto
SOL,◎,95.00,0.020,1.50,Crypto
USDC,$,1.0000,0.020,0.05,Crypto
DOGE,Ð,0.30,0.020,2.00,Crypto
TRX,⧫,0.18,0.020,1.60,Crypto
ADA,₳,0.95,0.020,1.60,Crypto
LINK,⊲,21.50,0.020,1.70,Crypto
AVAX,Λ,75.00,0.020,1.60,Crypto
XLM,*,0.45,0.020,1.50,Crypto
BCH,Ƀ,280.00,0.020,1.80,Crypto
TON,⌂,8.50,0.020,1.70,Crypto
SHIB,🦴,0.000028,0.020,2.50,Crypto
HBAR,ℏ,0.12,0.020,1.30,Crypto
LTC,Ł,75.00,0.020,1.50,Crypto
DOT,•,6.50,0.020,1.60,Crypto
XMR,ɱ,240.00,0.020,1.80,Crypto